entry,at,order
"The player ""Cstam @ Nkk6lwlvwH"" passed the room ownership to ""beed2112 @ XwZ93_1Ezx"".",2020-08-27T05:02:58.762Z,159850457876300
"The player ""Teddy KGB @ ax1w1pGAkV"" quits the game with a stack of 0.",2020-08-27T05:00:09.068Z,159850440907500
"-- ending hand #187 --",2020-08-27T05:00:03.125Z,159850440312701
"""beed2112 @ XwZ93_1Ezx"" collected 2240 from pot with Pair, 9's (hand: 8♠, K♣)",2020-08-27T05:00:03.125Z,159850440312700
"river: 9♥, A♥, 9♠, 3♣ [7♣]",2020-08-27T05:00:00.083Z,159850440008600
"turn: 9♥, A♥, 9♠ [3♣]",2020-08-27T04:59:57.060Z,159850439706200
"""Teddy KGB @ ax1w1pGAkV"" shows a Q♣, J♦.",2020-08-27T04:59:54.046Z,159850439404703
"""beed2112 @ XwZ93_1Ezx"" shows a 8♠, K♣.",2020-08-27T04:59:54.046Z,159850439404702
"flop:  [9♥, A♥, 9♠]",2020-08-27T04:59:54.046Z,159850439404701
"Uncalled bet of 5760 returned to ""beed2112 @ XwZ93_1Ezx""",2020-08-27T04:59:54.046Z,159850439404700
"""Teddy KGB @ ax1w1pGAkV"" calls 1120 and go all in",2020-08-27T04:59:53.239Z,159850439324100
"""beed2112 @ XwZ93_1Ezx"" raises to 6880 and go all in",2020-08-27T04:59:51.721Z,159850439172200
"""Teddy KGB @ ax1w1pGAkV"" posts a big blind of 400",2020-08-27T04:59:44.792Z,159850438479405
"""beed2112 @ XwZ93_1Ezx"" posts a small blind of 200",2020-08-27T04:59:44.792Z,159850438479404
"Your hand is 8♠, K♣",2020-08-27T04:59:44.792Z,159850438479402
"Player stacks: #3 ""beed2112 @ XwZ93_1Ezx"" (6880) | #6 ""Teddy KGB @ ax1w1pGAkV"" (1120)",2020-08-27T04:59:44.792Z,159850438479401
"-- starting hand #187  (Texas Hold'em) (dealer: ""beed2112 @ XwZ93_1Ezx"") --",2020-08-27T04:59:44.792Z,159850438479400
