entry,at,order
"The player ""CStam @ CPnkzyEFJl"" passed the room ownership to ""GoodCards @ on8x5AfTJK"".",2021-01-07T04:25:52.199Z,160999355220000
"The player ""2000 @ IX_jYwdAn0"" quits the game with a stack of 0.",2021-01-07T04:20:55.798Z,160999325580200
"-- ending hand #143 --",2021-01-07T04:20:49.762Z,160999324976901
"""GoodCards @ on8x5AfTJK"" collected 6474 from pot with hi hand with a pair of queens (combination: 9♣, 10♥, K♦, Q♣, Q♦)",2021-01-07T04:20:49.762Z,160999324976900
"River: 5♠, 6♠, 10♥, K♦ [9♣]",2021-01-07T04:20:46.747Z,160999324675100
"Turn: 5♠, 6♠, 10♥ [K♦]",2021-01-07T04:20:43.731Z,160999324373600
"""GoodCards @ on8x5AfTJK"" shows a Q♣, 8♦, A♥, Q♦.",2021-01-07T04:20:40.720Z,160999324072101
"""2000 @ IX_jYwdAn0"" shows a 3♥, 8♠, J♠, A♠.",2021-01-07T04:20:40.720Z,160999324072100
"""GoodCards @ on8x5AfTJK"" calls 2437",2021-01-07T04:20:39.914Z,160999323991500
"""2000 @ IX_jYwdAn0"" raises to 2437 and go all in",2021-01-07T04:20:37.623Z,160999323762400
"""GoodCards @ on8x5AfTJK"" bets 1200",2021-01-07T04:20:23.315Z,160999322331800
"""2000 @ IX_jYwdAn0"" checks",2021-01-07T04:20:19.718Z,160999321971800
"Flop:  [5♠, 6♠, 10♥]",2021-01-07T04:20:09.427Z,160999320942900
"""2000 @ IX_jYwdAn0"" calls 800",2021-01-07T04:20:08.622Z,160999320862300
"""GoodCards @ on8x5AfTJK"" raises to 800",2021-01-07T04:20:04.498Z,160999320449900
"""2000 @ IX_jYwdAn0"" posts a big blind of 400",2021-01-07T04:19:59.895Z,160999319989707
"""GoodCards @ on8x5AfTJK"" posts a small blind of 200",2021-01-07T04:19:59.895Z,160999319989706
"Player stacks: #8 ""2000 @ IX_jYwdAn0"" (3237) | #9 ""GoodCards @ on8x5AfTJK"" (4763)",2021-01-07T04:19:59.895Z,160999319989703
"-- starting hand #143  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""GoodCards @ on8x5AfTJK"") --",2021-01-07T04:19:59.895Z,160999319989702
