entry,at,order
"The player ""Jake @ Y8-LRh0g-6"" quits the game with a stack of 0.",2020-11-19T05:58:28.291Z,160576550829500
"-- ending hand #290 --",2020-11-19T05:58:22.271Z,160576550227301
"""beed2112 @ KATP09yIaO"" collected 1416 from pot with Two Pair, Q's & 8's (combination: Q♦, Q♣, 8♦, 8♠, 10♣)",2020-11-19T05:58:22.271Z,160576550227300
"river: 10♣, 9♣, 8♦, 2♥ [8♠]",2020-11-19T05:58:19.248Z,160576549925100
"turn: 10♣, 9♣, 8♦ [2♥]",2020-11-19T05:58:16.226Z,160576549622800
"flop:  [10♣, 9♣, 8♦]",2020-11-19T05:58:13.212Z,160576549321300
"""Jake @ Y8-LRh0g-6"" shows a A♦, 7♥.",2020-11-19T05:58:10.193Z,160576549019501
"""beed2112 @ KATP09yIaO"" shows a Q♦, Q♣.",2020-11-19T05:58:10.193Z,160576549019500
"""beed2112 @ KATP09yIaO"" calls 708",2020-11-19T05:58:09.382Z,160576548938300
"""Jake @ Y8-LRh0g-6"" raises to 708 and go all in",2020-11-19T05:58:06.877Z,160576548687900
"""beed2112 @ KATP09yIaO"" posts a big blind of 100",2020-11-19T05:58:01.208Z,160576548121005
"""Jake @ Y8-LRh0g-6"" posts a small blind of 50",2020-11-19T05:58:01.208Z,160576548121004
"Your hand is Q♦, Q♣",2020-11-19T05:58:01.208Z,160576548121002
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (4292) | #9 ""Jake @ Y8-LRh0g-6"" (708)",2020-11-19T05:58:01.208Z,160576548121001
"-- starting hand #290  (No Limit Texas Hold'em) (dealer: ""Jake @ Y8-LRh0g-6"") --",2020-11-19T05:58:01.208Z,160576548121000
"""Jake @ Y8-LRh0g-6"" shows a 8♦, 4♥.",2020-11-19T05:57:59.195Z,160576547919600
"Undealt cards:  [J♣, 7♠, K♦, 4♣, 4♦]",2020-11-19T05:57:56.021Z,160576547602200
"-- ending hand #289 --",2020-11-19T05:57:54.555Z,160576547455702
"""beed2112 @ KATP09yIaO"" collected 200 from pot",2020-11-19T05:57:54.555Z,160576547455701
"Uncalled bet of 800 returned to ""beed2112 @ KATP09yIaO""",2020-11-19T05:57:54.555Z,160576547455700
"""Jake @ Y8-LRh0g-6"" folds",2020-11-19T05:57:53.746Z,160576547374800
"""beed2112 @ KATP09yIaO"" raises to 900",2020-11-19T05:57:46.792Z,160576546679300
"""Jake @ Y8-LRh0g-6"" posts a big blind of 100",2020-11-19T05:57:31.683Z,160576545168405
"""beed2112 @ KATP09yIaO"" posts a small blind of 50",2020-11-19T05:57:31.683Z,160576545168404
"Your hand is 10♥, 10♦",2020-11-19T05:57:31.683Z,160576545168402
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (4192) | #9 ""Jake @ Y8-LRh0g-6"" (808)",2020-11-19T05:57:31.683Z,160576545168401
"-- starting hand #289  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2020-11-19T05:57:31.683Z,160576545168400
"Undealt cards:  [5♥, J♠, 9♥, 4♦, 3♣]",2020-11-19T05:57:28.068Z,160576544806900
"-- ending hand #288 --",2020-11-19T05:57:25.770Z,160576544577102
"""beed2112 @ KATP09yIaO"" collected 100 from pot",2020-11-19T05:57:25.770Z,160576544577101
"Uncalled bet of 50 returned to ""beed2112 @ KATP09yIaO""",2020-11-19T05:57:25.770Z,160576544577100
"""Jake @ Y8-LRh0g-6"" folds",2020-11-19T05:57:24.961Z,160576544496200
"""beed2112 @ KATP09yIaO"" posts a big blind of 100",2020-11-19T05:57:22.940Z,160576544294105
"""Jake @ Y8-LRh0g-6"" posts a small blind of 50",2020-11-19T05:57:22.940Z,160576544294104
"Your hand is 6♦, A♦",2020-11-19T05:57:22.940Z,160576544294102
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (4142) | #9 ""Jake @ Y8-LRh0g-6"" (858)",2020-11-19T05:57:22.940Z,160576544294101
"-- starting hand #288  (No Limit Texas Hold'em) (dealer: ""Jake @ Y8-LRh0g-6"") --",2020-11-19T05:57:22.940Z,160576544294100
"""Jake @ Y8-LRh0g-6"" shows a 5♠, 7♣.",2020-11-19T05:57:20.076Z,160576544007700
"-- ending hand #287 --",2020-11-19T05:57:19.321Z,160576543932302
"""Jake @ Y8-LRh0g-6"" collected 400 from pot",2020-11-19T05:57:19.321Z,160576543932301
"Uncalled bet of 458 returned to ""Jake @ Y8-LRh0g-6""",2020-11-19T05:57:19.321Z,160576543932300
"""beed2112 @ KATP09yIaO"" folds",2020-11-19T05:57:18.510Z,160576543851200
"""Jake @ Y8-LRh0g-6"" bets 458 and go all in",2020-11-19T05:57:16.760Z,160576543676100
"river: 4♥, Q♥, 2♦, J♦ [K♠]",2020-11-19T05:57:12.106Z,160576543211500
"""beed2112 @ KATP09yIaO"" checks",2020-11-19T05:57:11.293Z,160576543129800
"""Jake @ Y8-LRh0g-6"" checks",2020-11-19T05:57:09.202Z,160576542920300
"turn: 4♥, Q♥, 2♦ [J♦]",2020-11-19T05:57:05.643Z,160576542564400
