entry,at,order
"The player ""Jake @ Y8-LRh0g-6"" quits the game with a stack of 0.",2021-04-08T05:19:54.124Z,161785919413700
"-- ending hand #291 --",2021-04-08T05:19:48.105Z,161785918810701
"""CStam @ CPnkzyEFJl"" collected 968 from pot with Two Pair, A's & Q's (combination: A♠, A♣, Q♣, Q♠, K♣)",2021-04-08T05:19:48.105Z,161785918810700
"River: A♠, 6♥, 10♦, Q♠ [A♣]",2021-04-08T05:19:44.059Z,161785918406100
"Turn: A♠, 6♥, 10♦ [Q♠]",2021-04-08T05:19:40.031Z,161785918003300
"Flop:  [A♠, 6♥, 10♦]",2021-04-08T05:19:36.002Z,161785917601900
"""Jake @ Y8-LRh0g-6"" shows a 5♦, 5♥.",2021-04-08T05:19:31.971Z,161785917198302
"""CStam @ CPnkzyEFJl"" shows a Q♣, K♣.",2021-04-08T05:19:31.971Z,161785917198301
"Uncalled bet of 3032 returned to ""CStam @ CPnkzyEFJl""",2021-04-08T05:19:31.971Z,161785917198300
"""Jake @ Y8-LRh0g-6"" calls 484 and go all in",2021-04-08T05:19:31.143Z,161785917114400
"""CStam @ CPnkzyEFJl"" raises to 3516 and go all in",2021-04-08T05:19:27.374Z,161785916737500
"""Jake @ Y8-LRh0g-6"" posts a big blind of 200",2021-04-08T05:19:22.732Z,161785916273305
"""CStam @ CPnkzyEFJl"" posts a small blind of 100",2021-04-08T05:19:22.732Z,161785916273304
"Player stacks: #9 ""CStam @ CPnkzyEFJl"" (3516) | #10 ""Jake @ Y8-LRh0g-6"" (484)",2021-04-08T05:19:22.732Z,161785916273301
"-- starting hand #291  (No Limit Texas Hold'em) (dealer: ""CStam @ CPnkzyEFJl"") --",2021-04-08T05:19:22.732Z,161785916273300
"-- ending hand #290 --",2021-04-08T05:19:16.714Z,161785915671601
"""CStam @ CPnkzyEFJl"" collected 3516 from pot with Pair, J's (combination: J♥, J♠, Q♠, 7♦, 5♦)",2021-04-08T05:19:16.714Z,161785915671600
"River: Q♠, 7♦, 3♦, 2♦ [5♦]",2021-04-08T05:19:12.679Z,161785915268100
"Turn: Q♠, 7♦, 3♦ [2♦]",2021-04-08T05:19:08.666Z,161785914866900
"Flop:  [Q♠, 7♦, 3♦]",2021-04-08T05:19:04.617Z,161785914466600
"""Jake @ Y8-LRh0g-6"" shows a A♣, 7♥.",2021-04-08T05:19:00.566Z,161785914058301
"""CStam @ CPnkzyEFJl"" shows a J♥, J♠.",2021-04-08T05:19:00.566Z,161785914058300
"""Jake @ Y8-LRh0g-6"" calls 1758",2021-04-08T05:18:59.747Z,161785913974800
"""CStam @ CPnkzyEFJl"" raises to 1758 and go all in",2021-04-08T05:18:54.031Z,161785913403200
"""Jake @ Y8-LRh0g-6"" calls 200",2021-04-08T05:18:49.048Z,161785912904900
"""CStam @ CPnkzyEFJl"" posts a big blind of 200",2021-04-08T05:18:34.867Z,161785911486805
"""Jake @ Y8-LRh0g-6"" posts a small blind of 100",2021-04-08T05:18:34.867Z,161785911486804
"Player stacks: #9 ""CStam @ CPnkzyEFJl"" (1758) | #10 ""Jake @ Y8-LRh0g-6"" (2242)",2021-04-08T05:18:34.867Z,161785911486801
"-- starting hand #290  (No Limit Texas Hold'em) (dealer: ""Jake @ Y8-LRh0g-6"") --",2021-04-08T05:18:34.867Z,161785911486800
"-- ending hand #289 --",2021-04-08T05:18:28.936Z,161785910893702
"""Jake @ Y8-LRh0g-6"" collected 200 from pot",2021-04-08T05:18:28.936Z,161785910893701
"Uncalled bet of 100 returned to ""Jake @ Y8-LRh0g-6""",2021-04-08T05:18:28.936Z,161785910893700
"""CStam @ CPnkzyEFJl"" folds",2021-04-08T05:18:28.127Z,161785910812800
"""Jake @ Y8-LRh0g-6"" posts a big blind of 200",2021-04-08T05:18:22.857Z,161785910285805
"""CStam @ CPnkzyEFJl"" posts a small blind of 100",2021-04-08T05:18:22.857Z,161785910285804
"Player stacks: #9 ""CStam @ CPnkzyEFJl"" (1858) | #10 ""Jake @ Y8-LRh0g-6"" (2142)",2021-04-08T05:18:22.857Z,161785910285801
"-- starting hand #289  (No Limit Texas Hold'em) (dealer: ""CStam @ CPnkzyEFJl"") --",2021-04-08T05:18:22.857Z,161785910285800
"-- ending hand #288 --",2021-04-08T05:18:16.921Z,161785909692202
