entry,at,order
"The player ""CStam @ CPnkzyEFJl"" passed the room ownership to ""beed2112 @ KATP09yIaO"".",2021-02-21T06:31:34.300Z,161388909430200
"The player ""CStam @ CPnkzyEFJl"" quits the game with a stack of 0.",2021-02-21T06:19:55.914Z,161388839591900
"-- ending hand #196 --",2021-02-21T06:19:46.888Z,161388838689402
"""beed2112 @ KATP09yIaO"" collected 3546 from pot with low hand with five high (combination: A♦, 2♠, 3♥, 4♥, 5♣)",2021-02-21T06:19:46.888Z,161388838689401
"""beed2112 @ KATP09yIaO"" collected 3546 from pot with hi hand with straight five high (combination: A♦, 2♠, 3♥, 4♥, 5♣)",2021-02-21T06:19:46.888Z,161388838689400
"River: J♣, 10♥, A♦, 5♣ [2♠]",2021-02-21T06:19:43.868Z,161388838387800
"Turn: J♣, 10♥, A♦ [5♣]",2021-02-21T06:19:40.837Z,161388838084000
"""beed2112 @ KATP09yIaO"" shows a A♥, 3♥, 4♥, J♥.",2021-02-21T06:19:37.819Z,161388837782002
"""CStam @ CPnkzyEFJl"" shows a J♠, 2♥, J♦, 7♣.",2021-02-21T06:19:37.819Z,161388837782001
"Uncalled bet of 1254 returned to ""beed2112 @ KATP09yIaO""",2021-02-21T06:19:37.819Z,161388837782000
"""CStam @ CPnkzyEFJl"" calls 2746 and go all in",2021-02-21T06:19:37.013Z,161388837701400
"""beed2112 @ KATP09yIaO"" raises to 4000",2021-02-21T06:19:32.197Z,161388837219800
"""CStam @ CPnkzyEFJl"" raises to 800",2021-02-21T06:19:27.055Z,161388836705600
"""beed2112 @ KATP09yIaO"" bets 400",2021-02-21T06:19:23.788Z,161388836378900
"Flop:  [J♣, 10♥, A♦]",2021-02-21T06:19:20.323Z,161388836032500
"""beed2112 @ KATP09yIaO"" calls 800",2021-02-21T06:19:19.516Z,161388835951700
"""CStam @ CPnkzyEFJl"" raises to 800",2021-02-21T06:19:17.160Z,161388835716000
"""beed2112 @ KATP09yIaO"" posts a big blind of 400",2021-02-21T06:19:08.859Z,161388834886005
"""CStam @ CPnkzyEFJl"" posts a small blind of 200",2021-02-21T06:19:08.859Z,161388834886004
"Your hand is A♥, 3♥, 4♥, J♥",2021-02-21T06:19:08.859Z,161388834886003
"Player stacks: #5 ""CStam @ CPnkzyEFJl"" (3546) | #9 ""beed2112 @ KATP09yIaO"" (9454)",2021-02-21T06:19:08.859Z,161388834886001
"-- starting hand #196  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""CStam @ CPnkzyEFJl"") --",2021-02-21T06:19:08.859Z,161388834886000
"Undealt cards: 8♠, 6♥, 10♦ [2♥, 10♠]",2021-02-21T06:19:04.772Z,161388834477400
"-- ending hand #195 --",2021-02-21T06:19:02.943Z,161388834294402
"""beed2112 @ KATP09yIaO"" collected 800 from pot",2021-02-21T06:19:02.943Z,161388834294401
"Uncalled bet of 400 returned to ""beed2112 @ KATP09yIaO""",2021-02-21T06:19:02.943Z,161388834294400
"""CStam @ CPnkzyEFJl"" folds",2021-02-21T06:19:02.134Z,161388834213500
"""beed2112 @ KATP09yIaO"" bets 400",2021-02-21T06:18:54.092Z,161388833409300
"""CStam @ CPnkzyEFJl"" checks",2021-02-21T06:18:50.998Z,161388833099900
"Flop:  [8♠, 6♥, 10♦]",2021-02-21T06:18:41.521Z,161388832152200
"""CStam @ CPnkzyEFJl"" checks",2021-02-21T06:18:40.711Z,161388832071200
"""beed2112 @ KATP09yIaO"" calls 400",2021-02-21T06:18:38.273Z,161388831827500
"""CStam @ CPnkzyEFJl"" posts a big blind of 400",2021-02-21T06:18:34.924Z,161388831492505
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2021-02-21T06:18:34.924Z,161388831492504
"Your hand is 8♥, Q♦, 5♦, J♣",2021-02-21T06:18:34.924Z,161388831492503
"Player stacks: #5 ""CStam @ CPnkzyEFJl"" (3946) | #9 ""beed2112 @ KATP09yIaO"" (9054)",2021-02-21T06:18:34.924Z,161388831492501
"-- starting hand #195  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-21T06:18:34.924Z,161388831492500
"Undealt cards:  [J♥, 7♠, 8♠, 9♥, 3♦]",2021-02-21T06:18:31.009Z,161388831101000
"-- ending hand #194 --",2021-02-21T06:18:28.973Z,161388830897402
"""beed2112 @ KATP09yIaO"" collected 400 from pot",2021-02-21T06:18:28.973Z,161388830897401
"Uncalled bet of 200 returned to ""beed2112 @ KATP09yIaO""",2021-02-21T06:18:28.973Z,161388830897400
"""CStam @ CPnkzyEFJl"" folds",2021-02-21T06:18:28.158Z,161388830815900
"""beed2112 @ KATP09yIaO"" posts a big blind of 400",2021-02-21T06:18:23.270Z,161388830327406
"""CStam @ CPnkzyEFJl"" posts a small blind of 200",2021-02-21T06:18:23.270Z,161388830327405
"Your hand is 9♦, 9♠, Q♣, Q♠",2021-02-21T06:18:23.270Z,161388830327404
"Player stacks: #5 ""CStam @ CPnkzyEFJl"" (4146) | #9 ""beed2112 @ KATP09yIaO"" (8854)",2021-02-21T06:18:23.270Z,161388830327402
"-- starting hand #194  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""CStam @ CPnkzyEFJl"") --",2021-02-21T06:18:23.270Z,161388830327401
"The player ""Harrison @ wHTIqAGE8i"" quits the game with a stack of 0.",2021-02-21T06:18:23.270Z,161388830327400
"-- ending hand #193 --",2021-02-21T06:18:14.220Z,161388829422602
"""CStam @ CPnkzyEFJl"" collected 1125 from pot with low hand with seven high (combination: A♦, 2♠, 3♠, 4♥, 7♠)",2021-02-21T06:18:14.220Z,161388829422601
"""CStam @ CPnkzyEFJl"" collected 1125 from pot with hi hand with two pair jacks and tens (combination: A♦, 10♣, 10♠, J♥, J♦)",2021-02-21T06:18:14.220Z,161388829422600
"River: 7♠, A♦, 3♠, J♥ [J♦]",2021-02-21T06:18:11.172Z,161388829118500
"Turn: 7♠, A♦, 3♠ [J♥]",2021-02-21T06:18:08.136Z,161388828813900
"Flop:  [7♠, A♦, 3♠]",2021-02-21T06:18:05.083Z,161388828508500
"""CStam @ CPnkzyEFJl"" shows a 10♣, 10♠, 4♥, 2♠.",2021-02-21T06:18:02.067Z,161388828206801
"""Harrison @ wHTIqAGE8i"" shows a K♦, 4♦, 8♠, 7♣.",2021-02-21T06:18:02.067Z,161388828206800
"""CStam @ CPnkzyEFJl"" calls 1125",2021-02-21T06:18:01.254Z,161388828125500
"""Harrison @ wHTIqAGE8i"" raises to 1125 and go all in",2021-02-21T06:17:42.824Z,161388826282500
"""beed2112 @ KATP09yIaO"" folds",2021-02-21T06:17:29.187Z,161388824918800
