entry,at,order
"The player ""Brando @ rk3DF0pHXu"" passed the room ownership to ""Big_L @ ZMx6SETI8r"".",2020-12-24T06:06:34.889Z,160878999489002
"The player ""Jake @ Y8-LRh0g-6"" passed the room ownership to ""Brando @ rk3DF0pHXu"".",2020-12-24T06:06:34.889Z,160878999489001
"The player ""CStam @ CPnkzyEFJl"" passed the room ownership to ""Jake @ Y8-LRh0g-6"".",2020-12-24T06:06:34.889Z,160878999489000
"The player ""Big_L @ ZMx6SETI8r"" quits the game with a stack of 7000.",2020-12-24T06:00:22.463Z,160878962247000
"The player ""CStam @ CPnkzyEFJl"" quits the game with a stack of 0.",2020-12-24T05:57:19.362Z,160878943936600
"-- ending hand #244 --",2020-12-24T05:57:13.341Z,160878943334301
"""Big_L @ ZMx6SETI8r"" collected 2820 from pot with Three of a Kind, 2's (combination: 2♠, 2♦, 2♥, A♥, 9♠)",2020-12-24T05:57:13.341Z,160878943334300
"River: 7♠, 2♦, 8♣, 9♠ [2♥]",2020-12-24T05:57:10.325Z,160878943032700
"Turn: 7♠, 2♦, 8♣ [9♠]",2020-12-24T05:57:07.301Z,160878942730500
"Flop:  [7♠, 2♦, 8♣]",2020-12-24T05:57:04.291Z,160878942429200
"""Big_L @ ZMx6SETI8r"" shows a A♥, 2♠.",2020-12-24T05:57:01.243Z,160878942124402
"""CStam @ CPnkzyEFJl"" shows a K♠, 10♦.",2020-12-24T05:57:01.243Z,160878942124401
"Uncalled bet of 4180 returned to ""Big_L @ ZMx6SETI8r""",2020-12-24T05:57:01.243Z,160878942124400
"""CStam @ CPnkzyEFJl"" calls 1410 and go all in",2020-12-24T05:57:00.428Z,160878942042900
"""Big_L @ ZMx6SETI8r"" raises to 5590 and go all in",2020-12-24T05:56:53.461Z,160878941346200
"""CStam @ CPnkzyEFJl"" posts a big blind of 800",2020-12-24T05:56:49.229Z,160878940923107
"""Big_L @ ZMx6SETI8r"" posts a small blind of 400",2020-12-24T05:56:49.229Z,160878940923106
"Player stacks: #7 ""CStam @ CPnkzyEFJl"" (1410) | #9 ""Big_L @ ZMx6SETI8r"" (5590)",2020-12-24T05:56:49.229Z,160878940923103
"-- starting hand #244  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2020-12-24T05:56:49.229Z,160878940923102
"The game's big blind was changed from 400 to 800.",2020-12-24T05:56:49.229Z,160878940923101
"The game's small blind was changed from 200 to 400.",2020-12-24T05:56:49.229Z,160878940923100
"""CStam @ CPnkzyEFJl"" shows a K♥, 2♦.",2020-12-24T05:56:45.241Z,160878940524300
"""Big_L @ ZMx6SETI8r"" shows a Q♦, K♦.",2020-12-24T05:56:42.777Z,160878940277800
"-- ending hand #243 --",2020-12-24T05:56:41.879Z,160878940188002
"""Big_L @ ZMx6SETI8r"" collected 400 from pot",2020-12-24T05:56:41.879Z,160878940188001
"Uncalled bet of 200 returned to ""Big_L @ ZMx6SETI8r""",2020-12-24T05:56:41.879Z,160878940188000
"""CStam @ CPnkzyEFJl"" folds",2020-12-24T05:56:41.067Z,160878940106900
"""Big_L @ ZMx6SETI8r"" posts a big blind of 400",2020-12-24T05:56:28.100Z,160878938810105
"""CStam @ CPnkzyEFJl"" posts a small blind of 200",2020-12-24T05:56:28.100Z,160878938810104
"Player stacks: #7 ""CStam @ CPnkzyEFJl"" (1610) | #9 ""Big_L @ ZMx6SETI8r"" (5390)",2020-12-24T05:56:28.100Z,160878938810101
"-- starting hand #243  (No Limit Texas Hold'em) (dealer: ""CStam @ CPnkzyEFJl"") --",2020-12-24T05:56:28.100Z,160878938810100
"-- ending hand #242 --",2020-12-24T05:56:22.164Z,160878938216602
"""Big_L @ ZMx6SETI8r"" collected 800 from pot",2020-12-24T05:56:22.164Z,160878938216601
"Uncalled bet of 800 returned to ""Big_L @ ZMx6SETI8r""",2020-12-24T05:56:22.164Z,160878938216600
"""CStam @ CPnkzyEFJl"" folds",2020-12-24T05:56:21.355Z,160878938135600
"""Big_L @ ZMx6SETI8r"" raises to 1200",2020-12-24T05:56:05.465Z,160878936546600
"""CStam @ CPnkzyEFJl"" posts a big blind of 400",2020-12-24T05:55:56.415Z,160878935641705
"""Big_L @ ZMx6SETI8r"" posts a small blind of 200",2020-12-24T05:55:56.415Z,160878935641704
"Player stacks: #7 ""CStam @ CPnkzyEFJl"" (2010) | #9 ""Big_L @ ZMx6SETI8r"" (4990)",2020-12-24T05:55:56.415Z,160878935641701
"-- starting hand #242  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2020-12-24T05:55:56.415Z,160878935641700
"-- ending hand #241 --",2020-12-24T05:55:50.482Z,160878935048302
"""Big_L @ ZMx6SETI8r"" collected 400 from pot",2020-12-24T05:55:50.482Z,160878935048301
"Uncalled bet of 200 returned to ""Big_L @ ZMx6SETI8r""",2020-12-24T05:55:50.482Z,160878935048300
"""CStam @ CPnkzyEFJl"" folds",2020-12-24T05:55:49.676Z,160878934967700
"""Big_L @ ZMx6SETI8r"" posts a big blind of 400",2020-12-24T05:55:46.905Z,160878934690605
"""CStam @ CPnkzyEFJl"" posts a small blind of 200",2020-12-24T05:55:46.905Z,160878934690604
"Player stacks: #7 ""CStam @ CPnkzyEFJl"" (2210) | #9 ""Big_L @ ZMx6SETI8r"" (4790)",2020-12-24T05:55:46.905Z,160878934690601
"-- starting hand #241  (No Limit Texas Hold'em) (dealer: ""CStam @ CPnkzyEFJl"") --",2020-12-24T05:55:46.905Z,160878934690600
"""Big_L @ ZMx6SETI8r"" shows a K♣, 8♦.",2020-12-24T05:55:42.829Z,160878934283000
