entry,at,order
"The player ""CStam @ CPnkzyEFJl"" passed the room ownership to ""McNeal @ RhS1yjqLXE"".",2021-08-05T03:23:37.704Z,162813381770400
"The player ""CStam @ CPnkzyEFJl"" quits the game with a stack of 0.",2021-08-05T03:09:16.055Z,162813295605500
"-- ending hand #176 --",2021-08-05T03:09:10.027Z,162813295002701
"""McNeal @ RhS1yjqLXE"" collected 3800 from pot with Two Pair, A's & 9's (combination: A♠, A♥, 9♦, 9♣, 10♦)",2021-08-05T03:09:10.027Z,162813295002700
"River: 7♥, 10♦, A♥, 9♦ [9♣]",2021-08-05T03:09:06.002Z,162813294600200
"Turn: 7♥, 10♦, A♥ [9♦]",2021-08-05T03:09:01.988Z,162813294198800
"Flop:  [7♥, 10♦, A♥]",2021-08-05T03:08:57.976Z,162813293797600
"""CStam @ CPnkzyEFJl"" shows a 8♥, 8♠.",2021-08-05T03:08:53.940Z,162813293394001
"""McNeal @ RhS1yjqLXE"" shows a 3♦, A♠.",2021-08-05T03:08:53.940Z,162813293394000
"""CStam @ CPnkzyEFJl"" calls 1900 and go all in",2021-08-05T03:08:53.133Z,162813293313300
"""McNeal @ RhS1yjqLXE"" raises to 1900 and go all in",2021-08-05T03:08:51.331Z,162813293133100
"""CStam @ CPnkzyEFJl"" posts a big blind of 400",2021-08-05T03:08:49.092Z,162813292909205
"""McNeal @ RhS1yjqLXE"" posts a small blind of 200",2021-08-05T03:08:49.092Z,162813292909204
"Player stacks: #4 ""McNeal @ RhS1yjqLXE"" (4100) | #7 ""CStam @ CPnkzyEFJl"" (1900)",2021-08-05T03:08:49.092Z,162813292909201
"-- starting hand #176  (No Limit Texas Hold'em) (dealer: ""McNeal @ RhS1yjqLXE"") --",2021-08-05T03:08:49.092Z,162813292909200
"-- ending hand #175 --",2021-08-05T03:08:43.153Z,162813292315302
"""McNeal @ RhS1yjqLXE"" collected 400 from pot",2021-08-05T03:08:43.153Z,162813292315301
"Uncalled bet of 200 returned to ""McNeal @ RhS1yjqLXE""",2021-08-05T03:08:43.153Z,162813292315300
"""CStam @ CPnkzyEFJl"" folds",2021-08-05T03:08:42.348Z,162813292234800
"""McNeal @ RhS1yjqLXE"" posts a big blind of 400",2021-08-05T03:08:39.485Z,162813291948505
"""CStam @ CPnkzyEFJl"" posts a small blind of 200",2021-08-05T03:08:39.485Z,162813291948504
"Player stacks: #4 ""McNeal @ RhS1yjqLXE"" (3900) | #7 ""CStam @ CPnkzyEFJl"" (2100)",2021-08-05T03:08:39.485Z,162813291948501
"-- starting hand #175  (No Limit Texas Hold'em) (dealer: ""CStam @ CPnkzyEFJl"") --",2021-08-05T03:08:39.485Z,162813291948500
"""CStam @ CPnkzyEFJl"" shows a 4♦, A♥.",2021-08-05T03:08:36.459Z,162813291645900
"""McNeal @ RhS1yjqLXE"" shows a 6♥, 10♣.",2021-08-05T03:08:35.172Z,162813291517200
"Undealt cards:  [2♠, 5♠, 9♣, A♦, Q♦]",2021-08-05T03:08:33.631Z,162813291363100
"-- ending hand #174 --",2021-08-05T03:08:32.155Z,162813291215502
"""CStam @ CPnkzyEFJl"" collected 400 from pot",2021-08-05T03:08:32.155Z,162813291215501
"Uncalled bet of 200 returned to ""CStam @ CPnkzyEFJl""",2021-08-05T03:08:32.155Z,162813291215500
"""McNeal @ RhS1yjqLXE"" folds",2021-08-05T03:08:31.342Z,162813291134200
"""CStam @ CPnkzyEFJl"" posts a big blind of 400",2021-08-05T03:08:29.828Z,162813290982805
