entry,at,order
"The player ""Cstam @ CPnkzyEFJl"" passed the room ownership to ""beed2112 @ KATP09yIaO"".",2021-02-25T05:46:16.103Z,161423197610400
"The player ""NealW @ 2PQdEX_jec"" quits the game with a stack of 0.",2021-02-25T05:39:30.469Z,161423157047600
"-- ending hand #222 --",2021-02-25T05:39:24.445Z,161423156444701
"""beed2112 @ KATP09yIaO"" collected 5790 from pot with Pair, K's (combination: K♦, K♣, J♣, 7♠, 6♠)",2021-02-25T05:39:24.445Z,161423156444700
"River: K♣, J♣, 3♦, 6♠ [5♦]",2021-02-25T05:39:21.400Z,161423156140200
"Turn: K♣, J♣, 3♦ [6♠]",2021-02-25T05:39:18.387Z,161423155838800
"Flop:  [K♣, J♣, 3♦]",2021-02-25T05:39:15.351Z,161423155535200
"""beed2112 @ KATP09yIaO"" shows a 7♠, K♦.",2021-02-25T05:39:12.340Z,161423155234101
"""NealW @ 2PQdEX_jec"" shows a A♣, Q♥.",2021-02-25T05:39:12.340Z,161423155234100
"""beed2112 @ KATP09yIaO"" calls 2895",2021-02-25T05:39:11.531Z,161423155153200
"""NealW @ 2PQdEX_jec"" raises to 2895 and go all in",2021-02-25T05:39:03.997Z,161423154399800
"""beed2112 @ KATP09yIaO"" calls 400",2021-02-25T05:39:01.265Z,161423154126600
"""NealW @ 2PQdEX_jec"" posts a big blind of 400",2021-02-25T05:38:58.468Z,161423153846905
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2021-02-25T05:38:58.468Z,161423153846904
"Your hand is 7♠, K♦",2021-02-25T05:38:58.468Z,161423153846903
"Player stacks: #8 ""NealW @ 2PQdEX_jec"" (2895) | #10 ""beed2112 @ KATP09yIaO"" (4105)",2021-02-25T05:38:58.468Z,161423153846901
"-- starting hand #222  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-25T05:38:58.468Z,161423153846900
"""NealW @ 2PQdEX_jec"" shows a K♠, K♦.",2021-02-25T05:38:56.358Z,161423153635800
"-- ending hand #221 --",2021-02-25T05:38:54.833Z,161423153483402
"""NealW @ 2PQdEX_jec"" collected 2400 from pot",2021-02-25T05:38:54.833Z,161423153483401
"Uncalled bet of 495 returned to ""NealW @ 2PQdEX_jec""",2021-02-25T05:38:54.833Z,161423153483400
"""beed2112 @ KATP09yIaO"" folds",2021-02-25T05:38:53.997Z,161423153399800
"""NealW @ 2PQdEX_jec"" bets 495 and go all in",2021-02-25T05:38:52.309Z,161423153231000
"""beed2112 @ KATP09yIaO"" checks",2021-02-25T05:38:48.152Z,161423152815300
"River: 3♠, 10♦, 7♣, 7♠ [3♣]",2021-02-25T05:38:44.705Z,161423152470700
"""NealW @ 2PQdEX_jec"" calls 400",2021-02-25T05:38:43.890Z,161423152389100
"""beed2112 @ KATP09yIaO"" bets 400",2021-02-25T05:38:40.992Z,161423152099300
"Turn: 3♠, 10♦, 7♣ [7♠]",2021-02-25T05:38:37.286Z,161423151728800
"""NealW @ 2PQdEX_jec"" calls 400",2021-02-25T05:38:36.473Z,161423151647400
"""beed2112 @ KATP09yIaO"" bets 400",2021-02-25T05:38:30.549Z,161423151055000
"Flop:  [3♠, 10♦, 7♣]",2021-02-25T05:38:26.782Z,161423150678400
