entry,at,order
"The player ""CStam @ CPnkzyEFJl"" passed the room ownership to ""th3y3ti @ VZsAHzIEHm"".",2020-12-03T06:43:03.833Z,160697778383500
"The player ""beed2112 @ KATP09yIaO"" quits the game with a stack of 0.",2020-12-03T06:36:19.382Z,160697737938500
"-- ending hand #232 --",2020-12-03T06:36:13.365Z,160697737336701
"""th3y3ti @ VZsAHzIEHm"" collected 3920 from pot with Two Pair, Q's & 5's (combination: Q♣, Q♠, 5♥, 5♠, 10♥)",2020-12-03T06:36:13.365Z,160697737336700
"river: Q♠, 10♥, 5♥, 5♠ [3♠]",2020-12-03T06:36:10.343Z,160697737035000
"turn: Q♠, 10♥, 5♥ [5♠]",2020-12-03T06:36:07.328Z,160697736733200
"flop:  [Q♠, 10♥, 5♥]",2020-12-03T06:36:04.319Z,160697736432000
"""beed2112 @ KATP09yIaO"" shows a A♥, 9♠.",2020-12-03T06:36:01.299Z,160697736130001
"""th3y3ti @ VZsAHzIEHm"" shows a Q♣, 9♦.",2020-12-03T06:36:01.299Z,160697736130000
"""th3y3ti @ VZsAHzIEHm"" calls 1960",2020-12-03T06:36:00.494Z,160697736049500
"""beed2112 @ KATP09yIaO"" raises to 1960 and go all in",2020-12-03T06:35:56.584Z,160697735658500
"""th3y3ti @ VZsAHzIEHm"" posts a big blind of 800",2020-12-03T06:35:48.220Z,160697734822105
"""beed2112 @ KATP09yIaO"" posts a small blind of 400",2020-12-03T06:35:48.220Z,160697734822104
"Your hand is A♥, 9♠",2020-12-03T06:35:48.220Z,160697734822103
"Player stacks: #9 ""th3y3ti @ VZsAHzIEHm"" (4040) | #10 ""beed2112 @ KATP09yIaO"" (1960)",2020-12-03T06:35:48.220Z,160697734822101
"-- starting hand #232  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2020-12-03T06:35:48.220Z,160697734822100
"Undealt cards:  [3♦, 4♠, K♣, J♥, 5♣]",2020-12-03T06:35:44.094Z,160697734409800
"-- ending hand #231 --",2020-12-03T06:35:42.282Z,160697734228302
"""th3y3ti @ VZsAHzIEHm"" collected 1600 from pot",2020-12-03T06:35:42.282Z,160697734228301
"Uncalled bet of 2440 returned to ""th3y3ti @ VZsAHzIEHm""",2020-12-03T06:35:42.282Z,160697734228300
"""beed2112 @ KATP09yIaO"" folds",2020-12-03T06:35:41.476Z,160697734147700
"""th3y3ti @ VZsAHzIEHm"" raises to 3240 and go all in",2020-12-03T06:35:31.734Z,160697733173500
"""beed2112 @ KATP09yIaO"" posts a big blind of 800",2020-12-03T06:35:27.983Z,160697732798405
"""th3y3ti @ VZsAHzIEHm"" posts a small blind of 400",2020-12-03T06:35:27.983Z,160697732798404
"Your hand is J♠, 5♥",2020-12-03T06:35:27.983Z,160697732798403
"Player stacks: #9 ""th3y3ti @ VZsAHzIEHm"" (3240) | #10 ""beed2112 @ KATP09yIaO"" (2760)",2020-12-03T06:35:27.983Z,160697732798401
"-- starting hand #231  (No Limit Texas Hold'em) (dealer: ""th3y3ti @ VZsAHzIEHm"") --",2020-12-03T06:35:27.983Z,160697732798400
"Undealt cards:  [4♦, 10♥, K♣, 8♥, J♥]",2020-12-03T06:35:23.703Z,160697732370400
"-- ending hand #230 --",2020-12-03T06:35:22.054Z,160697732205502
"""beed2112 @ KATP09yIaO"" collected 1600 from pot",2020-12-03T06:35:22.054Z,160697732205501
"Uncalled bet of 1160 returned to ""beed2112 @ KATP09yIaO""",2020-12-03T06:35:22.054Z,160697732205500
"""th3y3ti @ VZsAHzIEHm"" folds",2020-12-03T06:35:21.243Z,160697732124400
"""beed2112 @ KATP09yIaO"" raises to 1960 and go all in",2020-12-03T06:35:17.581Z,160697731758200
"""th3y3ti @ VZsAHzIEHm"" posts a big blind of 800",2020-12-03T06:35:13.606Z,160697731360705
"""beed2112 @ KATP09yIaO"" posts a small blind of 400",2020-12-03T06:35:13.606Z,160697731360704
"Your hand is 9♣, 7♣",2020-12-03T06:35:13.606Z,160697731360703
"Player stacks: #9 ""th3y3ti @ VZsAHzIEHm"" (4040) | #10 ""beed2112 @ KATP09yIaO"" (1960)",2020-12-03T06:35:13.606Z,160697731360701
"-- starting hand #230  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2020-12-03T06:35:13.606Z,160697731360700
"Undealt cards:  [K♥, 7♣, J♥, 7♦, 2♥]",2020-12-03T06:35:09.592Z,160697730959400
"-- ending hand #229 --",2020-12-03T06:35:07.691Z,160697730769102
"""beed2112 @ KATP09yIaO"" collected 800 from pot",2020-12-03T06:35:07.691Z,160697730769101
"Uncalled bet of 400 returned to ""beed2112 @ KATP09yIaO""",2020-12-03T06:35:07.691Z,160697730769100
"""th3y3ti @ VZsAHzIEHm"" folds",2020-12-03T06:35:06.886Z,160697730688600
"""beed2112 @ KATP09yIaO"" posts a big blind of 800",2020-12-03T06:35:03.245Z,160697730324707
"""th3y3ti @ VZsAHzIEHm"" posts a small blind of 400",2020-12-03T06:35:03.245Z,160697730324706
"Your hand is K♠, 10♣",2020-12-03T06:35:03.245Z,160697730324705
"Player stacks: #9 ""th3y3ti @ VZsAHzIEHm"" (4440) | #10 ""beed2112 @ KATP09yIaO"" (1560)",2020-12-03T06:35:03.245Z,160697730324703
"-- starting hand #229  (No Limit Texas Hold'em) (dealer: ""th3y3ti @ VZsAHzIEHm"") --",2020-12-03T06:35:03.245Z,160697730324702
"The game's small blind was changed from 400 to 800.",2020-12-03T06:35:03.245Z,160697730324701
"The game's big blind was changed from 200 to 400.",2020-12-03T06:35:03.245Z,160697730324700
"-- ending hand #228 --",2020-12-03T06:34:57.226Z,160697729722701
"""th3y3ti @ VZsAHzIEHm"" collected 4440 from pot with Pair, 9's (combination: 9♣, 9♥, K♦, 8♣, 5♣)",2020-12-03T06:34:57.226Z,160697729722700
"river: 4♣, 5♣, 2♥, K♦ [9♥]",2020-12-03T06:34:54.216Z,160697729421900
"turn: 4♣, 5♣, 2♥ [K♦]",2020-12-03T06:34:51.200Z,160697729120100
"flop:  [4♣, 5♣, 2♥]",2020-12-03T06:34:48.184Z,160697728818500
"""beed2112 @ KATP09yIaO"" shows a A♦, 8♠.",2020-12-03T06:34:45.174Z,160697728517501
"""th3y3ti @ VZsAHzIEHm"" shows a 9♣, 8♣.",2020-12-03T06:34:45.174Z,160697728517500
"""beed2112 @ KATP09yIaO"" calls 2220",2020-12-03T06:34:44.368Z,160697728436900
"""th3y3ti @ VZsAHzIEHm"" raises to 2220 and go all in",2020-12-03T06:34:39.998Z,160697727999800
"""beed2112 @ KATP09yIaO"" calls 400",2020-12-03T06:34:34.606Z,160697727460700
"""th3y3ti @ VZsAHzIEHm"" posts a big blind of 400",2020-12-03T06:34:27.100Z,160697726710506
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2020-12-03T06:34:27.100Z,160697726710505
