entry,at,order
"The player ""NealW @ 2PQdEX_jec"" quits the game with a stack of 0.",2021-02-11T05:40:29.277Z,161302202928400
"-- ending hand #198 --",2021-02-11T05:40:23.269Z,161302202327601
"""CStam @ CPnkzyEFJl"" collected 7966 from pot with Two Pair, K's & 8's (combination: K♠, K♣, 8♣, 8♦, Q♣)",2021-02-11T05:40:23.269Z,161302202327600
"River: K♣, 8♦, 4♠, 5♠ [Q♣]",2021-02-11T05:40:20.235Z,161302202023700
"""CStam @ CPnkzyEFJl"" shows a K♠, 8♣.",2021-02-11T05:40:17.212Z,161302201721301
"""NealW @ 2PQdEX_jec"" shows a 7♠, Q♠.",2021-02-11T05:40:17.212Z,161302201721300
"""CStam @ CPnkzyEFJl"" calls 3075",2021-02-11T05:40:16.397Z,161302201639800
"""NealW @ 2PQdEX_jec"" bets 3075 and go all in",2021-02-11T05:40:14.774Z,161302201477500
"""CStam @ CPnkzyEFJl"" checks",2021-02-11T05:40:02.446Z,161302200244800
"Turn: K♣, 8♦, 4♠ [5♠]",2021-02-11T05:39:57.312Z,161302199731400
"""CStam @ CPnkzyEFJl"" calls 508",2021-02-11T05:39:56.503Z,161302199650500
"""NealW @ 2PQdEX_jec"" bets 508",2021-02-11T05:39:51.467Z,161302199146800
"""CStam @ CPnkzyEFJl"" checks",2021-02-11T05:39:46.830Z,161302198683200
"Flop:  [K♣, 8♦, 4♠]",2021-02-11T05:39:44.396Z,161302198439800
"""CStam @ CPnkzyEFJl"" checks",2021-02-11T05:39:43.584Z,161302198358500
"""NealW @ 2PQdEX_jec"" calls 400",2021-02-11T05:39:29.481Z,161302196948200
"""CStam @ CPnkzyEFJl"" posts a big blind of 400",2021-02-11T05:39:27.414Z,161302196741605
"""NealW @ 2PQdEX_jec"" posts a small blind of 200",2021-02-11T05:39:27.414Z,161302196741604
"Player stacks: #1 ""NealW @ 2PQdEX_jec"" (3983) | #10 ""CStam @ CPnkzyEFJl"" (5017)",2021-02-11T05:39:27.414Z,161302196741601
"-- starting hand #198  (No Limit Texas Hold'em) (dealer: ""NealW @ 2PQdEX_jec"") --",2021-02-11T05:39:27.414Z,161302196741600
"""NealW @ 2PQdEX_jec"" shows a 4♦, 2♠.",2021-02-11T05:39:20.766Z,161302196076700
"""CStam @ CPnkzyEFJl"" shows a Q♦, 3♣.",2021-02-11T05:39:20.679Z,161302196068000
"-- ending hand #197 --",2021-02-11T05:39:20.090Z,161302196009202
"""NealW @ 2PQdEX_jec"" collected 400 from pot",2021-02-11T05:39:20.090Z,161302196009201
"Uncalled bet of 200 returned to ""NealW @ 2PQdEX_jec""",2021-02-11T05:39:20.090Z,161302196009200
"""CStam @ CPnkzyEFJl"" folds",2021-02-11T05:39:19.279Z,161302195928000
"""NealW @ 2PQdEX_jec"" posts a big blind of 400",2021-02-11T05:39:15.109Z,161302195511405
"""CStam @ CPnkzyEFJl"" posts a small blind of 200",2021-02-11T05:39:15.109Z,161302195511404
"Player stacks: #1 ""NealW @ 2PQdEX_jec"" (3783) | #10 ""CStam @ CPnkzyEFJl"" (5217)",2021-02-11T05:39:15.109Z,161302195511401
"-- starting hand #197  (No Limit Texas Hold'em) (dealer: ""CStam @ CPnkzyEFJl"") --",2021-02-11T05:39:15.109Z,161302195511400
"""NealW @ 2PQdEX_jec"" shows a 4♠, J♥.",2021-02-11T05:39:08.501Z,161302194850200
"""CStam @ CPnkzyEFJl"" shows a K♦, 4♦.",2021-02-11T05:39:08.382Z,161302194838300
"-- ending hand #196 --",2021-02-11T05:39:07.796Z,161302194779702
"""NealW @ 2PQdEX_jec"" collected 800 from pot",2021-02-11T05:39:07.796Z,161302194779701
"Uncalled bet of 700 returned to ""NealW @ 2PQdEX_jec""",2021-02-11T05:39:07.796Z,161302194779700
"""CStam @ CPnkzyEFJl"" folds",2021-02-11T05:39:06.983Z,161302194698500
"""NealW @ 2PQdEX_jec"" raises to 1100",2021-02-11T05:38:48.131Z,161302192813200
"""CStam @ CPnkzyEFJl"" posts a big blind of 400",2021-02-11T05:38:39.696Z,161302191969705
"""NealW @ 2PQdEX_jec"" posts a small blind of 200",2021-02-11T05:38:39.696Z,161302191969704
