entry,at,order
"The player ""Cstam @ Nkk6lwlvwH"" passed the room ownership to ""Jake @ J_fW4E1J68"".",2020-09-03T04:49:56.389Z,159910859639100
"The player ""Brando @ zfQrxJVuef"" quits the game with a stack of 0.",2020-09-03T04:42:05.543Z,159910812554700
"-- ending hand #216 --",2020-09-03T04:41:59.621Z,159910811962301
"""Jake @ J_fW4E1J68"" collected 1890 from pot with Pair, 7's (hand: 4♦, 7♥)",2020-09-03T04:41:59.621Z,159910811962300
"river: 10♦, 9♥, 7♣, 6♥ [A♠]",2020-09-03T04:41:56.611Z,159910811661300
"""Brando @ zfQrxJVuef"" shows a K♥, 3♣.",2020-09-03T04:41:53.601Z,159910811360201
"""Jake @ J_fW4E1J68"" shows a 4♦, 7♥.",2020-09-03T04:41:53.601Z,159910811360200
"""Jake @ J_fW4E1J68"" calls 545",2020-09-03T04:41:52.782Z,159910811279200
"""Brando @ zfQrxJVuef"" bets 545 and go all in",2020-09-03T04:41:48.467Z,159910810846800
"turn: 10♦, 9♥, 7♣ [6♥]",2020-09-03T04:41:33.892Z,159910809389400
"""Jake @ J_fW4E1J68"" checks",2020-09-03T04:41:33.087Z,159910809308800
"""Brando @ zfQrxJVuef"" checks",2020-09-03T04:41:21.954Z,159910808195500
"flop:  [10♦, 9♥, 7♣]",2020-09-03T04:41:14.627Z,159910807462800
"""Brando @ zfQrxJVuef"" checks",2020-09-03T04:41:13.821Z,159910807382200
"""Jake @ J_fW4E1J68"" calls 400",2020-09-03T04:41:12.969Z,159910807297000
"""Brando @ zfQrxJVuef"" posts a big blind of 400",2020-09-03T04:41:02.892Z,159910806289305
"""Jake @ J_fW4E1J68"" posts a small blind of 200",2020-09-03T04:41:02.892Z,159910806289304
"Player stacks: #4 ""Jake @ J_fW4E1J68"" (6055) | #8 ""Brando @ zfQrxJVuef"" (945)",2020-09-03T04:41:02.892Z,159910806289301
"-- starting hand #216  (Texas Hold'em) (dealer: ""Jake @ J_fW4E1J68"") --",2020-09-03T04:41:02.892Z,159910806289300
"""Jake @ J_fW4E1J68"" shows a 6♥, 9♠.",2020-09-03T04:40:59.425Z,159910805942600
"""Brando @ zfQrxJVuef"" shows a 2♦, 8♣.",2020-09-03T04:40:57.799Z,159910805780000
"-- ending hand #215 --",2020-09-03T04:40:55.542Z,159910805554302
"""Jake @ J_fW4E1J68"" collected 400 from pot",2020-09-03T04:40:55.542Z,159910805554301
"Uncalled bet of 200 returned to ""Jake @ J_fW4E1J68""",2020-09-03T04:40:55.542Z,159910805554300
"Uncalled bet of 200 returned to ""Jake @ J_fW4E1J68""",2020-09-03T04:40:54.736Z,159910805473701
"""Brando @ zfQrxJVuef"" folds",2020-09-03T04:40:54.736Z,159910805473700
"""Jake @ J_fW4E1J68"" posts a big blind of 400",2020-09-03T04:40:51.864Z,159910805186605
"""Brando @ zfQrxJVuef"" posts a small blind of 200",2020-09-03T04:40:51.864Z,159910805186604
"Player stacks: #4 ""Jake @ J_fW4E1J68"" (5855) | #8 ""Brando @ zfQrxJVuef"" (1145)",2020-09-03T04:40:51.864Z,159910805186601
"-- starting hand #215  (Texas Hold'em) (dealer: ""Brando @ zfQrxJVuef"") --",2020-09-03T04:40:51.864Z,159910805186600
"""Brando @ zfQrxJVuef"" shows a 2♣, 6♦.",2020-09-03T04:40:46.378Z,159910804637900
"-- ending hand #214 --",2020-09-03T04:40:45.244Z,159910804524502
"""Jake @ J_fW4E1J68"" collected 800 from pot",2020-09-03T04:40:45.244Z,159910804524501
"Uncalled bet of 5055 returned to ""Jake @ J_fW4E1J68""",2020-09-03T04:40:45.244Z,159910804524500
"Uncalled bet of 5055 returned to ""Jake @ J_fW4E1J68""",2020-09-03T04:40:44.439Z,159910804444001
"""Brando @ zfQrxJVuef"" folds",2020-09-03T04:40:44.439Z,159910804444000
"""Jake @ J_fW4E1J68"" raises to 5455 and go all in",2020-09-03T04:40:41.704Z,159910804170500
"""Brando @ zfQrxJVuef"" posts a big blind of 400",2020-09-03T04:40:35.513Z,159910803551405
"""Jake @ J_fW4E1J68"" posts a small blind of 200",2020-09-03T04:40:35.513Z,159910803551404
"Player stacks: #4 ""Jake @ J_fW4E1J68"" (5455) | #8 ""Brando @ zfQrxJVuef"" (1545)",2020-09-03T04:40:35.513Z,159910803551401
"-- starting hand #214  (Texas Hold'em) (dealer: ""Jake @ J_fW4E1J68"") --",2020-09-03T04:40:35.513Z,159910803551400
"""Jake @ J_fW4E1J68"" shows a 4♥, 8♣.",2020-09-03T04:40:33.499Z,159910803350100
"-- ending hand #213 --",2020-09-03T04:40:28.901Z,159910802890202
"""Jake @ J_fW4E1J68"" collected 400 from pot",2020-09-03T04:40:28.901Z,159910802890201
"Uncalled bet of 200 returned to ""Jake @ J_fW4E1J68""",2020-09-03T04:40:28.901Z,159910802890200
"Uncalled bet of 200 returned to ""Jake @ J_fW4E1J68""",2020-09-03T04:40:28.096Z,159910802809701
"""Brando @ zfQrxJVuef"" folds",2020-09-03T04:40:28.096Z,159910802809700
"""Jake @ J_fW4E1J68"" posts a big blind of 400",2020-09-03T04:40:19.190Z,159910801919105
"""Brando @ zfQrxJVuef"" posts a small blind of 200",2020-09-03T04:40:19.190Z,159910801919104
