entry,at,order
"The player ""th3y3ti @ 5LN-tulyHb"" quits the game with a stack of 0.",2020-09-24T05:01:56.565Z,160092371656900
"-- ending hand #199 --",2020-09-24T05:01:47.560Z,160092370757501
"""CStam @ Nkk6lwlvwH"" collected 200 from pot with hi hand with three of a kind jacks (combination: 9♥, A♠, J♥, J♦, J♣)",2020-09-24T05:01:47.560Z,160092370757500
"river: J♦, A♠, 6♠, J♣ [Q♦]",2020-09-24T05:01:44.524Z,160092370453800
"turn: J♦, A♠, 6♠ [J♣]",2020-09-24T05:01:41.508Z,160092370151500
"flop:  [J♦, A♠, 6♠]",2020-09-24T05:01:38.476Z,160092369847800
"""th3y3ti @ 5LN-tulyHb"" shows a 8♠, 6♣, 7♥, 2♦.",2020-09-24T05:01:35.458Z,160092369545902
"""CStam @ Nkk6lwlvwH"" shows a J♥, 7♦, 9♥, 3♠.",2020-09-24T05:01:35.458Z,160092369545901
"Uncalled bet of 100 returned to ""CStam @ Nkk6lwlvwH""",2020-09-24T05:01:35.458Z,160092369545900
"""CStam @ Nkk6lwlvwH"" posts a big blind of 200",2020-09-24T05:01:34.649Z,160092369465005
"""th3y3ti @ 5LN-tulyHb"" posts a small blind of 100 and go all in ",2020-09-24T05:01:34.649Z,160092369465004
"Player stacks: #4 ""CStam @ Nkk6lwlvwH"" (3900) | #8 ""th3y3ti @ 5LN-tulyHb"" (100)",2020-09-24T05:01:34.649Z,160092369465001
"-- starting hand #199  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""th3y3ti @ 5LN-tulyHb"") --",2020-09-24T05:01:34.649Z,160092369465000
"-- ending hand #198 --",2020-09-24T05:01:25.607Z,160092368562104
"""CStam @ Nkk6lwlvwH"" collected 1550 from pot with low hand with five high (combination: A♣, 2♠, 3♥, 4♣, 5♥)",2020-09-24T05:01:25.607Z,160092368562103
"""CStam @ Nkk6lwlvwH"" collected 1550 from pot with hi hand with straight six high (combination: 2♠, 3♥, 4♣, 5♦, 6♥)",2020-09-24T05:01:25.607Z,160092368562102
"""CStam @ Nkk6lwlvwH"" collected 400 from pot with low hand with five high (combination: A♣, 2♠, 3♥, 4♣, 5♥)",2020-09-24T05:01:25.607Z,160092368562101
"""CStam @ Nkk6lwlvwH"" collected 400 from pot with hi hand with straight six high (combination: 2♠, 3♥, 4♣, 5♦, 6♥)",2020-09-24T05:01:25.607Z,160092368562100
"river: 6♥, 2♠, Q♠, 4♣ [5♥]",2020-09-24T05:01:22.581Z,160092368259000
"""th3y3ti @ 5LN-tulyHb"" shows a 7♠, Q♥, 10♣, A♥.",2020-09-24T05:01:19.569Z,160092367957001
"""CStam @ Nkk6lwlvwH"" shows a 2♥, 5♦, 3♥, A♣.",2020-09-24T05:01:19.569Z,160092367957000
"""th3y3ti @ 5LN-tulyHb"" calls 1350",2020-09-24T05:01:18.762Z,160092367876300
"""CStam @ Nkk6lwlvwH"" raises to 1350 and go all in",2020-09-24T05:01:09.591Z,160092366959200
"""th3y3ti @ 5LN-tulyHb"" bets 500",2020-09-24T05:01:04.555Z,160092366455500
"turn: 6♥, 2♠, Q♠ [4♣]",2020-09-24T05:00:58.795Z,160092365879800
"""CStam @ Nkk6lwlvwH"" calls 200",2020-09-24T05:00:57.990Z,160092365799000
"""th3y3ti @ 5LN-tulyHb"" bets 200",2020-09-24T05:00:45.804Z,160092364580500
"flop:  [6♥, 2♠, Q♠]",2020-09-24T05:00:41.263Z,160092364126400
"""CStam @ Nkk6lwlvwH"" calls 400",2020-09-24T05:00:40.456Z,160092364045700
"""th3y3ti @ 5LN-tulyHb"" raises to 400",2020-09-24T05:00:37.719Z,160092363772000
"""CStam @ Nkk6lwlvwH"" calls 200",2020-09-24T05:00:29.775Z,160092362977600
"""th3y3ti @ 5LN-tulyHb"" posts a big blind of 200",2020-09-24T05:00:25.784Z,160092362578505
"""CStam @ Nkk6lwlvwH"" posts a small blind of 100",2020-09-24T05:00:25.784Z,160092362578504
"Player stacks: #4 ""CStam @ Nkk6lwlvwH"" (1950) | #8 ""th3y3ti @ 5LN-tulyHb"" (2050)",2020-09-24T05:00:25.784Z,160092362578501
"-- starting hand #198  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""CStam @ Nkk6lwlvwH"") --",2020-09-24T05:00:25.784Z,160092362578500
"""CStam @ Nkk6lwlvwH"" shows a 10♥, 7♠, A♠, 8♣.",2020-09-24T05:00:20.870Z,160092362087100
"-- ending hand #197 --",2020-09-24T05:00:19.179Z,160092361918002
"""CStam @ Nkk6lwlvwH"" collected 400 from pot",2020-09-24T05:00:19.179Z,160092361918001
"Uncalled bet of 200 returned to ""CStam @ Nkk6lwlvwH""",2020-09-24T05:00:19.179Z,160092361918000
"""th3y3ti @ 5LN-tulyHb"" folds",2020-09-24T05:00:18.372Z,160092361837200
"""CStam @ Nkk6lwlvwH"" bets 200",2020-09-24T05:00:14.535Z,160092361453600
"turn: K♥, 9♠, Q♣ [J♦]",2020-09-24T05:00:10.019Z,160092361002300
"""th3y3ti @ 5LN-tulyHb"" checks",2020-09-24T05:00:09.214Z,160092360921500
"""CStam @ Nkk6lwlvwH"" checks",2020-09-24T05:00:07.433Z,160092360743400
"flop:  [K♥, 9♠, Q♣]",2020-09-24T05:00:00.677Z,160092360067900
"""CStam @ Nkk6lwlvwH"" checks",2020-09-24T04:59:59.872Z,160092359987200
